email,role,first_name,last_name
adam@clinic.org,physician,Adam,
alex@clinic.org,physician,Alex,
buckley@clinic.org,physician,Buckley,
drb@clinic.org,physician,Dr.,B
jennifer@clinic.org,physician,Jennifer,
jenniferc@clinic.org,physician,Jennifer,C
jennifers@clinic.org,physician,Jennifer,S
jose@clinic.org,physician,Jose,
karenc@clinic.org,physician,Karen,C
kushala@clinic.org,physician,Kushala,
kushalah@clinic.org,physician,Kushala,H
lbourne@clinic.org,physician,L,Bourne
laurab@clinic.org,physician,Laura,B.
manuel@clinic.org,physician,Manuel,
pandya@clinic.org,physician,Pandya,
ramirez@clinic.org,physician,Ramirez,
romir@clinic.org,physician,Romir,
veronicac@clinic.org,physician,Veronica,C.
alexis@emory.edu,student,Alexis,
allison@emory.edu,student,Allison,
ann@emory.edu,student,Ann,
ann.s@emory.edu,student,Ann,S
arrocho@emory.edu,student,Arrocho,
brandin@emory.edu,student,Brandin,
brian@emory.edu,student,Brian,
claire@emory.edu,student,Claire,
colletti@emory.edu,student,Colletti,
colton@emory.edu,student,Colton,
daniel@emory.edu,student,Daniel,
emily@emory.edu,student,Emily,
emily.r@emory.edu,student,Emily,R
emma@emory.edu,student,Emma,
g.a.g@emory.edu,student,G.A.G,
gina@emory.edu,student,Gina,
ivone@emory.edu,student,Ivone,
kailyn@emory.edu,student,Kailyn,
m..kanliu@emory.edu,student,M.,Kanliu
marie@emory.edu,student,Marie,
melissa@emory.edu,student,Melissa,
michaela@emory.edu,student,Michaela,
morace@emory.edu,student,Morace,
simeon.r@emory.edu,student,Simeon,R
simone@emory.edu,student,Simone,
taylor@emory.edu,student,Taylor,
